hour,2015,2016,2017,2018
0,402.5804190049975,293.1341255766236,254.68806527232474,222.7468797813111
1,397.55048539606224,291.8013272982924,252.08265320587603,220.63479855336746
2,391.82630469813887,289.7884496470356,248.42398130019149,217.23792850830637
3,385.8570541540684,286.0033886303768,244.7186979240679,215.1887297160353
4,382.9150822362656,283.4511141419737,241.5780807304295,212.83767839538257
5,388.0144507981878,287.2848658403453,247.978860984355,217.97857915279675
6,405.09773157234963,305.21873654030037,268.9119576178444,241.49729933916453
7,424.6393374786482,328.8564933214463,291.0991133543915,267.83853693311255
8,431.34817326132793,336.46792479562555,296.80122204734437,275.616754959847
9,428.91707142117195,333.66568538313686,294.1282755946206,273.29949316823956
10,423.69594618686386,325.07187482280244,286.44530362570015,265.33670354450464
11,419.27335957117396,321.20412370302137,282.42285298613695,260.0815824510851
12,415.5748610080103,320.26028960727393,280.87671135863405,257.84117933022503
13,413.83970391572046,318.98717285301467,280.8439080847332,258.4015876952679
14,412.2558180282286,319.824478420959,282.50137019756085,260.685594271544
15,415.1087344247178,325.5728022707384,287.522353399832,267.3990646567175
16,425.38261141268896,340.12972522172595,300.5054089715137,281.8843590983955
17,433.8054419895332,351.9169462264638,311.10145905275806,292.8079309432366
18,440.0072562357801,359.020399235746,318.6464901732116,298.8484278447519
19,444.0477487808532,362.68231517523566,323.6507029867774,302.84516313142086
20,444.5367827088755,359.71268683384056,321.11972004222434,297.78336314076387
21,441.841519707944,349.525979058679,312.28778626179377,285.09913952279015
22,430.3009686936398,330.99065436670037,294.45409966113886,264.10318303679753
23,415.1757086275461,307.4394210519891,270.01949741153516,237.93335228159577
